date,BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SOLUSDT,TRXUSDT,DOGEUSDT
2020-10-18,11501.1,378.29,30.599,0.2422,2.2186,0.02592,0.002588
2020-10-19,11745.0,379.47,29.899,0.2457,2.0578,0.02589,0.002593
2020-10-20,11900.03,368.74,28.831,0.2434,1.8905,0.02593,0.002594
2020-10-21,12796.07,390.96,29.734,0.2511,1.8933,0.02669,0.002627
2020-10-22,12968.87,414.39,30.663,0.2572,1.9619,0.0271,0.002649
2020-10-23,12925.82,409.4,30.63,0.2552,1.9645,0.02673,0.002645
2020-10-24,13110.88,412.34,30.629,0.2564,1.9196,0.02707,0.002638
2020-10-25,13023.81,406.14,30.107,0.2534,1.7937,0.027,0.002653
2020-10-26,13047.24,392.43,31.022,0.2481,1.6786,0.02677,0.002669
2020-10-27,13629.38,403.6,31.423,0.2526,1.7135,0.027,0.002671
2020-10-28,13256.17,388.17,30.322,0.2454,1.5196,0.0269,0.002582
2020-10-29,13446.65,386.94,29.845,0.2424,1.4325,0.02658,0.002576
2020-10-30,13549.12,382.4,28.509,0.2388,1.4378,0.0256,0.002583
2020-10-31,13783.73,386.29,28.504,0.2396,1.5472,0.02579,0.002568
2020-11-01,13752.86,396.82,28.568,0.2398,1.6076,0.02574,0.002575
2020-11-02,13540.54,383.16,27.807,0.2353,1.4741,0.02444,0.002514
2020-11-03,14016.55,388.11,26.878,0.2394,1.4131,0.02441,0.002519
2020-11-04,14134.31,402.92,26.96,0.2373,1.391,0.0242,0.002541
2020-11-05,15598.75,417.14,27.721,0.2456,1.4011,0.02494,0.002635
2020-11-06,15590.96,456.38,29.052,0.2588,1.8998,0.02617,0.002759
2020-11-07,14824.34,435.58,27.788,0.249,2.0283,0.02487,0.002666
2020-11-08,15473.2,454.75,28.427,0.2538,2.1571,0.02535,0.002705
2020-11-09,15328.72,444.72,28.1,0.2507,2.0393,0.02479,0.002674
2020-11-10,15294.68,450.67,28.237,0.2543,2.2652,0.02485,0.002761
2020-11-11,15690.24,463.35,28.01,0.256,2.003,0.02499,0.002757
2020-11-12,16289.02,462.68,27.712,0.2551,1.9083,0.02492,0.002779
2020-11-13,16320.54,476.8,28.227,0.2662,2.0191,0.02543,0.002817
2020-11-14,16064.51,461.0,27.964,0.2683,1.92,0.02515,0.002776
2020-11-15,15952.27,448.16,27.681,0.27,2.0431,0.02533,0.002776
2020-11-16,16707.07,460.72,27.997,0.2885,2.268,0.02549,0.002897
2020-11-17,17670.01,482.49,28.554,0.303,2.207,0.02654,0.002947
2020-11-18,17788.32,478.61,28.12,0.2934,2.1166,0.02679,0.002911
2020-11-19,17811.68,471.38,28.123,0.304,2.0797,0.02581,0.002916
2020-11-20,18664.31,510.37,28.986,0.3306,2.1052,0.0263,0.002998
2020-11-21,18721.99,554.1,30.581,0.4639,2.3991,0.03064,0.003522
2020-11-22,18435.2,560.42,30.045,0.4465,2.1502,0.02878,0.003344
2020-11-23,18382.07,609.12,31.063,0.6157,2.2826,0.0318,0.00369
2020-11-24,19179.64,605.72,33.919,0.6951,2.2894,0.03533,0.004273
