open_time,Open,High,Low,Close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2020-10-18,30.202,30.950,30.132,30.599,1838350.02,2020-10-18 23:59:59.999,56278918.93380,187100,926645.07,28374608.36817,0
2020-10-19,30.600,30.672,29.700,29.899,2176988.84,2020-10-19 23:59:59.999,65566585.07564,188301,994475.49,29959517.18893,0
2020-10-20,29.899,30.089,28.500,28.831,2639829.66,2020-10-20 23:59:59.999,77200628.40542,233487,1184608.93,34643270.74597,0
2020-10-21,28.832,30.420,28.651,29.734,3038475.70,2020-10-21 23:59:59.999,90105737.91095,248968,1452831.66,43081419.91633,0
2020-10-22,29.732,31.280,29.682,30.663,2969500.15,2020-10-22 23:59:59.999,91236980.68623,240025,1457448.76,44777446.43193,0
2020-10-23,30.658,31.186,30.065,30.630,1900619.78,2020-10-23 23:59:59.999,58321199.15919,210472,899744.85,27622019.36020,0
2020-10-24,30.630,30.850,30.407,30.629,927606.27,2020-10-24 23:59:59.999,28407425.21260,182746,452227.28,13851520.25573,0
2020-10-25,30.629,30.990,29.850,30.107,1470943.00,2020-10-25 23:59:59.999,44621956.39088,188414,681082.22,20678270.21083,0
2020-10-26,30.104,31.370,29.925,31.022,3277614.79,2020-10-26 23:59:59.999,100829281.59629,269375,1663897.29,51202973.77949,0
2020-10-27,31.021,32.448,30.821,31.423,4314842.52,2020-10-27 23:59:59.999,136505610.77661,299644,2097044.85,66384042.91618,0
2020-10-28,31.415,31.930,29.750,30.322,2931609.08,2020-10-28 23:59:59.999,90172790.57847,229224,1336088.38,41089619.19371,0
2020-10-29,30.322,30.423,29.460,29.845,2307279.52,2020-10-29 23:59:59.999,69274701.79915,193915,1060506.51,31866641.53691,0
2020-10-30,29.847,30.190,27.451,28.509,3609401.75,2020-10-30 23:59:59.999,103053427.81800,261142,1665856.39,47532762.67815,0
2020-10-31,28.510,28.910,28.120,28.504,1636871.66,2020-10-31 23:59:59.999,46758164.52414,195216,789894.59,22568888.75912,0
2020-11-01,28.509,28.685,28.105,28.568,1166370.60,2020-11-01 23:59:59.999,33014941.39253,192137,563133.81,15943710.54753,0
2020-11-02,28.564,29.271,27.773,27.807,2698951.61,2020-11-02 23:59:59.999,77181697.86428,225952,1254084.40,35895929.16731,0
2020-11-03,27.806,27.806,25.727,26.878,3416204.58,2020-11-03 23:59:59.999,91018601.64260,261717,1604651.05,42757623.11714,0
2020-11-04,26.879,26.979,25.937,26.960,2674949.35,2020-11-04 23:59:59.999,70873540.01038,223127,1232417.64,32672910.14515,0
2020-11-05,26.962,27.947,26.674,27.721,3049246.30,2020-11-05 23:59:59.999,83560630.13618,236810,1476729.19,40480852.18794,0
2020-11-06,27.723,29.555,27.721,29.052,3610757.42,2020-11-06 23:59:59.999,103885708.91947,269813,1773810.76,51045936.81075,0
2020-11-07,29.054,29.914,26.851,27.788,4232157.28,2020-11-07 23:59:59.999,121480847.56771,311327,1910176.56,54900767.45653,0
2020-11-08,27.784,28.740,27.485,28.427,1910190.58,2020-11-08 23:59:59.999,53939729.11646,195733,961331.05,27158472.79302,0
2020-11-09,28.421,28.978,27.375,28.100,2500157.58,2020-11-09 23:59:59.999,70566408.43938,216748,1229837.02,34733450.09751,0
2020-11-10,28.100,28.539,27.717,28.237,2011956.56,2020-11-10 23:59:59.999,56653622.03376,184975,990102.50,27889154.72553,0
2020-11-11,28.238,28.600,27.811,28.010,1570625.19,2020-11-11 23:59:59.999,44277853.14999,176239,733752.71,20690301.04904,0
2020-11-12,28.012,28.188,27.302,27.712,1509464.91,2020-11-12 23:59:59.999,41929883.89830,180941,666570.97,18519789.52913,0
2020-11-13,27.712,28.488,27.550,28.227,2001986.93,2020-11-13 23:59:59.999,56150124.08873,203657,977734.77,27429525.41309,0
2020-11-14,28.227,28.233,27.408,27.964,1213580.95,2020-11-14 23:59:59.999,33670851.95792,190204,558264.64,15489665.36494,0
2020-11-15,27.959,28.240,27.069,27.681,1611727.73,2020-11-15 23:59:59.999,44855583.79333,207782,736560.52,20520758.48620,0
2020-11-16,27.681,28.231,27.480,27.997,1523268.24,2020-11-16 23:59:59.999,42511092.30144,167269,754302.93,21050600.54260,0
2020-11-17,27.990,28.830,27.958,28.554,2544418.50,2020-11-17 23:59:59.999,72512580.62212,200984,1168725.69,33299706.97647,0
2020-11-18,28.561,28.840,27.203,28.120,2854413.67,2020-11-18 23:59:59.999,80227340.82021,225592,1252065.97,35193663.76274,0
2020-11-19,28.123,28.388,27.650,28.123,1769669.98,2020-11-19 23:59:59.999,49672010.05929,181782,841875.24,23631641.34424,0
2020-11-20,28.123,29.339,28.074,28.986,2819396.37,2020-11-20 23:59:59.999,81176230.81665,219031,1351814.66,38911833.78170,0
2020-11-21,28.986,30.838,28.339,30.581,4992749.70,2020-11-21 23:59:59.999,148218419.12064,308668,2277614.43,67637988.07190,0
2020-11-22,30.587,31.362,28.878,30.045,4664400.13,2020-11-22 23:59:59.999,140573398.75155,315496,2086026.96,62901026.46889,0
2020-11-23,30.041,31.179,29.821,31.063,4520129.80,2020-11-23 23:59:59.999,137955951.61050,309535,2020565.20,61697036.94658,0
2020-11-24,31.057,35.328,30.852,33.919,11036062.96,2020-11-24 23:59:59.999,365280262.16111,564216,5027457.10,166410412.80463,0
2020-11-25,33.927,35.423,30.300,31.285,6090274.80,2020-11-25 23:59:59.999,201330449.81090,396133,2692872.66,89175675.97668,0
2020-11-26,31.284,31.793,26.409,28.258,9344593.80,2020-11-26 23:59:59.999,268723165.35109,567457,4375769.94,125956557.43259,0
2020-11-27,28.263,28.750,27.263,28.500,3319292.13,2020-11-27 23:59:59.999,93249138.99602,251236,1600176.35,44958343.54908,0
2020-11-28,28.500,29.722,27.927,29.168,2567869.23,2020-11-28 23:59:59.999,74245584.99100,199945,1276784.75,36920277.74832,0
2020-11-29,29.165,30.479,28.910,30.138,2572348.98,2020-11-29 23:59:59.999,76134371.95894,206100,1231285.97,36450342.30542,0
2020-11-30,30.138,31.696,29.759,31.535,3329955.45,2020-11-30 23:59:59.999,102498110.64329,248562,1532941.38,47171223.18341,0
2020-12-01,31.540,32.000,29.164,30.206,4032903.50,2020-12-01 23:59:59.999,123938360.14332,312754,1864225.74,57278492.18828,0
2020-12-02,30.205,30.993,29.504,30.278,2308003.41,2020-12-02 23:59:59.999,69942956.70488,208419,1118245.73,33899037.97441,0
2020-12-03,30.286,30.859,29.884,30.721,1656800.75,2020-12-03 23:59:59.999,50405361.39047,168047,773997.83,23550435.74028,0
2020-12-04,30.720,31.160,28.757,29.039,2403792.70,2020-12-04 23:59:59.999,71929179.54771,222357,1110954.83,33256298.44015,0
2020-12-05,29.040,30.041,28.682,29.740,1626331.61,2020-12-05 23:59:59.999,47793114.56812,185907,795355.09,23373139.11555,0
