open_time,Open,High,Low,Close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2020-10-18,0.002587,0.002607,0.002581,0.002588,1903692683,2020-10-18 23:59:59.999,4928388.627095,18178,952298626,2464850.499064,0
2020-10-19,0.002588,0.002621,0.002570,0.002593,2415786425,2020-10-19 23:59:59.999,6259756.522185,29226,1207545317,3128536.241766,0
2020-10-20,0.002593,0.002622,0.002580,0.002594,791270865,2020-10-20 23:59:59.999,2055338.512533,21137,388729925,1010302.104339,0
2020-10-21,0.002594,0.002665,0.002594,0.002627,1112437851,2020-10-21 23:59:59.999,2920249.065123,22017,496806182,1305156.966690,0
2020-10-22,0.002626,0.002698,0.002624,0.002649,776563916,2020-10-22 23:59:59.999,2069459.886613,20249,383475805,1022382.709242,0
2020-10-23,0.002649,0.002691,0.002623,0.002645,776781230,2020-10-23 23:59:59.999,2066895.903225,19794,361996512,963616.030039,0
2020-10-24,0.002645,0.002645,0.002609,0.002638,412487585,2020-10-24 23:59:59.999,1084445.045036,18679,191609589,503955.335437,0
2020-10-25,0.002639,0.002674,0.002619,0.002653,661190723,2020-10-25 23:59:59.999,1750783.397345,19163,383053862,1014453.696182,0
2020-10-26,0.002653,0.002912,0.002629,0.002669,4454836618,2020-10-26 23:59:59.999,12416824.452288,67094,2162600752,6034678.177621,0
2020-10-27,0.002669,0.002708,0.002612,0.002671,1130296817,2020-10-27 23:59:59.999,3019599.593633,25440,532861773,1425234.181624,0
2020-10-28,0.002671,0.002695,0.002561,0.002582,1513797468,2020-10-28 23:59:59.999,3965411.975520,32320,700687378,1836223.143837,0
2020-10-29,0.002582,0.002613,0.002506,0.002576,815101818,2020-10-29 23:59:59.999,2095501.097073,26092,387452975,997420.188817,0
2020-10-30,0.002576,0.002596,0.002503,0.002583,1430931398,2020-10-30 23:59:59.999,3664705.959449,27753,729347016,1868887.044837,0
2020-10-31,0.002584,0.002602,0.002551,0.002568,718914518,2020-10-31 23:59:59.999,1849467.329773,31717,367192062,944699.635179,0
2020-11-01,0.002568,0.002588,0.002552,0.002575,818024138,2020-11-01 23:59:59.999,2102483.022080,33392,407495353,1047182.429620,0
2020-11-02,0.002574,0.002590,0.002508,0.002514,1292758511,2020-11-02 23:59:59.999,3286865.467062,34566,623350075,1584806.365755,0
2020-11-03,0.002513,0.002526,0.002455,0.002519,755393101,2020-11-03 23:59:59.999,1886737.884679,37636,345224125,862850.711672,0
2020-11-04,0.002518,0.002559,0.002484,0.002541,1331130484,2020-11-04 23:59:59.999,3354781.424620,31152,667141350,1681349.587454,0
2020-11-05,0.002541,0.002673,0.002541,0.002635,1097362967,2020-11-05 23:59:59.999,2858953.376625,39450,579577391,1510968.890731,0
2020-11-06,0.002635,0.002821,0.002630,0.002759,2816120885,2020-11-06 23:59:59.999,7763395.893352,48389,1414409268,3900030.828018,0
2020-11-07,0.002759,0.002833,0.002601,0.002666,2968056353,2020-11-07 23:59:59.999,8154176.897670,45380,1410996936,3878179.616595,0
2020-11-08,0.002667,0.002742,0.002645,0.002705,992715002,2020-11-08 23:59:59.999,2688183.943100,23484,479301788,1297370.939366,0
2020-11-09,0.002705,0.002792,0.002661,0.002674,1183853398,2020-11-09 23:59:59.999,3226300.024834,28885,553759250,1510808.035271,0
2020-11-10,0.002674,0.002894,0.002656,0.002761,1855574887,2020-11-10 23:59:59.999,5179570.510217,43820,983973119,2747707.284032,0
2020-11-11,0.002762,0.002871,0.002740,0.002757,1306325787,2020-11-11 23:59:59.999,3662919.449056,28666,635179174,1781490.902595,0
2020-11-12,0.002756,0.002806,0.002718,0.002779,615593489,2020-11-12 23:59:59.999,1702549.252957,22009,307692331,851457.774036,0
2020-11-13,0.002779,0.002854,0.002769,0.002817,939887251,2020-11-13 23:59:59.999,2645397.836577,25208,426050068,1199325.383242,0
2020-11-14,0.002818,0.002828,0.002708,0.002776,898263080,2020-11-14 23:59:59.999,2487763.720293,23372,433450346,1201358.669032,0
2020-11-15,0.002776,0.002821,0.002723,0.002776,1038738954,2020-11-15 23:59:59.999,2888270.826729,25972,521011932,1448945.807975,0
2020-11-16,0.002775,0.003050,0.002756,0.002897,4169009009,2020-11-16 23:59:59.999,12114992.977834,56798,2045587132,5944395.706555,0
2020-11-17,0.002898,0.003023,0.002887,0.002947,2716080517,2020-11-17 23:59:59.999,7977737.487782,46727,1328274719,3902772.030123,0
2020-11-18,0.002948,0.003029,0.002813,0.002911,2999996640,2020-11-18 23:59:59.999,8739287.411011,58960,1436807451,4187565.660835,0
2020-11-19,0.002911,0.002982,0.002858,0.002916,1916570314,2020-11-19 23:59:59.999,5599892.520863,41681,912670100,2667081.625522,0
2020-11-20,0.002915,0.003032,0.002906,0.002998,2342929512,2020-11-20 23:59:59.999,6964886.745355,46024,1150056964,3419055.874599,0
2020-11-21,0.002998,0.003620,0.002988,0.003522,9536649180,2020-11-21 23:59:59.999,31959342.403124,148334,4558815014,15257728.637041,0
2020-11-22,0.003523,0.003715,0.003147,0.003344,6592100020,2020-11-22 23:59:59.999,22335524.450911,117399,3109963334,10548939.229985,0
2020-11-23,0.003344,0.003706,0.003228,0.003690,5030942545,2020-11-23 23:59:59.999,17204919.834132,87977,2302299475,7884122.099049,0
2020-11-24,0.003689,0.004304,0.003533,0.004273,13561264187,2020-11-24 23:59:59.999,52907033.496414,257242,6347225363,24813206.318668,0
2020-11-25,0.004271,0.004319,0.003579,0.003722,7061733413,2020-11-25 23:59:59.999,28263384.300752,160571,3276710279,13117895.997565,0
2020-11-26,0.003723,0.003808,0.002943,0.003254,8265542377,2020-11-26 23:59:59.999,27073613.464549,176701,3940648730,12904013.543436,0
2020-11-27,0.003255,0.003362,0.003080,0.003278,2314045441,2020-11-27 23:59:59.999,7469171.137264,49969,1129938608,3651108.061116,0
2020-11-28,0.003277,0.003488,0.003235,0.003395,1936345289,2020-11-28 23:59:59.999,6539402.283124,37626,858643702,2899356.646509,0
