open_time,Open,High,Low,Close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2020-10-18,368.26,378.80,367.16,378.29,806637.483,2020-10-18 23:59:59.999,301425260.48222,440692,434623.227,162449019.17228,0
2020-10-19,378.28,384.53,372.72,379.47,1306013.625,2020-10-19 23:59:59.999,494223813.25818,512797,674044.911,255109014.47219,0
2020-10-20,379.47,381.19,364.90,368.74,1662321.815,2020-10-20 23:59:59.999,619370716.71565,549359,774610.982,288687097.16860,0
2020-10-21,368.74,402.80,367.90,390.96,3345842.465,2020-10-21 23:59:59.999,1295884282.38578,876410,1662084.709,643468614.57030,0
2020-10-22,390.95,421.90,390.57,414.39,3018734.084,2020-10-22 23:59:59.999,1234905764.54365,856223,1481155.680,605949258.82696,0
2020-10-23,414.38,419.99,401.82,409.40,2104662.195,2020-10-23 23:59:59.999,867793859.96589,646495,1001021.043,412956085.38152,0
2020-10-24,409.41,417.16,407.33,412.34,1329608.930,2020-10-24 23:59:59.999,548566702.97112,520856,625794.455,258246674.26231,0
2020-10-25,412.34,417.89,402.60,406.14,1346452.607,2020-10-25 23:59:59.999,551028600.15098,517649,611352.855,250292063.17312,0
2020-10-26,406.14,411.18,382.18,392.43,2786314.677,2020-10-26 23:59:59.999,1107994114.66407,744207,1275931.568,507499167.93349,0
2020-10-27,392.43,410.58,390.00,403.60,2401387.340,2020-10-27 23:59:59.999,963095983.72540,630010,1175348.984,471365186.25248,0
2020-10-28,403.59,409.65,379.28,388.17,2723288.874,2020-10-28 23:59:59.999,1067492300.89028,738085,1270983.344,498189579.16182,0
2020-10-29,388.17,394.27,380.50,386.94,1923941.877,2020-10-29 23:59:59.999,747193992.32758,564298,959746.836,372848004.00139,0
2020-10-30,386.94,392.10,373.03,382.40,2280687.856,2020-10-30 23:59:59.999,869836730.23964,643478,1153271.152,439986543.35241,0
2020-10-31,382.49,394.14,380.14,386.29,1672781.766,2020-10-31 23:59:59.999,647983532.23330,552920,839003.873,325114136.45014,0
2020-11-01,386.28,398.00,384.32,396.82,1414350.496,2020-11-01 23:59:59.999,551627820.47901,498079,743492.151,290187841.43731,0
2020-11-02,396.90,405.00,377.71,383.16,2316121.967,2020-11-02 23:59:59.999,903392158.93109,713748,1118393.009,436313522.13636,0
2020-11-03,383.16,390.28,370.00,388.11,2031329.509,2020-11-03 23:59:59.999,772381755.52383,711968,1011103.370,384739140.23298,0
2020-11-04,388.11,408.99,375.71,402.92,3120949.650,2020-11-04 23:59:59.999,1226524381.30970,985161,1602508.567,629774997.89097,0
2020-11-05,402.95,423.79,395.89,417.14,4634761.389,2020-11-05 23:59:59.999,1891955855.84379,1290281,2266750.276,925931916.19339,0
2020-11-06,417.13,459.00,414.81,456.38,5106137.581,2020-11-06 23:59:59.999,2238630663.95929,1258910,2576925.846,1130196520.89144,0
