open_time,Open,High,Low,Close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2020-10-18,2.2069,2.2649,2.1804,2.2186,3907591,2020-10-18 23:59:59.999,8682494.9529,39678,1944484,4323983.0046,0
2020-10-19,2.2167,2.2206,2.0510,2.0578,4834438,2020-10-19 23:59:59.999,10151983.8221,44204,2298533,4830470.5142,0
2020-10-20,2.0576,2.1083,1.8457,1.8905,6052367,2020-10-20 23:59:59.999,11803851.5781,70779,2904215,5669883.5207,0
2020-10-21,1.8885,2.1098,1.8474,1.8933,10108189,2020-10-21 23:59:59.999,19667366.9314,99565,4616564,8986227.3227,0
2020-10-22,1.8933,2.0905,1.8629,1.9619,6143069,2020-10-22 23:59:59.999,12233363.1212,66991,3048850,6070786.1697,0
2020-10-23,1.9620,1.9938,1.8502,1.9645,5454719,2020-10-23 23:59:59.999,10579795.2804,57259,2521413,4894985.5105,0
2020-10-24,1.9666,1.9734,1.8800,1.9196,4059055,2020-10-24 23:59:59.999,7840448.7392,38673,1968840,3803947.6015,0
2020-10-25,1.9179,1.9281,1.7628,1.7937,5740317,2020-10-25 23:59:59.999,10680638.8896,70854,2361789,4393657.2426,0
2020-10-26,1.7946,1.8723,1.6162,1.6786,6534261,2020-10-26 23:59:59.999,11511279.0606,86117,2838879,5011169.3074,0
2020-10-27,1.6777,1.7542,1.5928,1.7135,7047936,2020-10-27 23:59:59.999,11909663.3027,71933,3150070,5323597.8682,0
2020-10-28,1.7131,1.7287,1.4555,1.5196,10242140,2020-10-28 23:59:59.999,15928645.1136,78062,4660897,7246795.2836,0
2020-10-29,1.5195,1.5773,1.4146,1.4325,6341465,2020-10-29 23:59:59.999,9497821.0462,49385,2906467,4349302.2555,0
2020-10-30,1.4321,1.4677,1.3379,1.4378,7038014,2020-10-30 23:59:59.999,9905406.7293,52871,3686347,5193098.3683,0
2020-10-31,1.4367,1.5501,1.4269,1.5472,5962596,2020-10-31 23:59:59.999,8932850.7264,74980,3199534,4797653.7866,0
2020-11-01,1.5474,1.6465,1.5132,1.6076,5514776,2020-11-01 23:59:59.999,8643933.2058,64385,2632615,4125485.6013,0
2020-11-02,1.6062,1.6426,1.4644,1.4741,5293427,2020-11-02 23:59:59.999,8073370.2685,44915,2507585,3820138.1731,0
2020-11-03,1.4729,1.4857,1.4109,1.4131,5470217,2020-11-03 23:59:59.999,7903839.1193,47126,2548262,3684652.9116,0
2020-11-04,1.4149,1.4166,1.2737,1.3910,7471679,2020-11-04 23:59:59.999,10157449.5608,61029,3588277,4886778.2237,0
2020-11-05,1.3912,1.4890,1.3020,1.4011,7267156,2020-11-05 23:59:59.999,10173397.6613,57867,3772846,5285494.0142,0
2020-11-06,1.4015,1.9474,1.3954,1.8998,15848200,2020-11-06 23:59:59.999,27313993.7046,123203,8251564,14236283.9405,0
2020-11-07,1.8978,2.5000,1.8324,2.0283,36707735,2020-11-07 23:59:59.999,78792044.1938,262607,17793764,38231424.8643,0
2020-11-08,2.0304,2.2868,1.9650,2.1571,16913035,2020-11-08 23:59:59.999,35772427.2032,141847,8105998,17142083.4246,0
2020-11-09,2.1571,2.2024,1.9517,2.0393,13460103,2020-11-09 23:59:59.999,27905080.0884,109741,6507863,13493746.0257,0
2020-11-10,2.0417,2.3306,2.0088,2.2652,8961990,2020-11-10 23:59:59.999,19639248.1932,78819,4177903,9146120.6006,0
2020-11-11,2.2659,2.3041,1.9674,2.0030,7201587,2020-11-11 23:59:59.999,15419449.7600,68708,3180341,6800292.9864,0
