RSI_MIN_LONG,RSI_MAX_SHORT,MOM20_MIN,MOM60_MIN,MOM20_MAX_SHORT,MOM60_MAX_SHORT,SMA60_FILTER_ON,VOLR20_MIN,PVCORR_MIN,RELMOM_MIN,BETA_MAX,ALLOW_SHORT,REGIME_ON_MIN_BREADTH,REGIME_OFF_MAX_BREADTH,REGIME_BTC_SMA60_ON,REGIME_BTC_RSI_MIN,CLOSE_ALL_ON_REGIME_OFF,MAX_COINS,WEIGHTING,MAX_GROSS_EXPOSURE,FIXED_FRACTION_PER_TRADE,SL_ATR_MULT,TP_ATR_MULT,STOP_TP_PRIORITY,COOLDOWN_AFTER_EXIT,FEE_IN,FEE_OUT,SLIPPAGE,START,END,SYMBOLS,INITIAL_CAPITAL,cagr,vol,sharpe,mdd,final_equity
60,25,0.1,-0.3,0.02,0.02,False,1.0,0.2,0.02,2.0,False,0.5,0.35,True,50,True,1,equal,1.0,0.2,2.0,2.5,tp,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.2657599701695623,0.15697871337186847,1.5794054802510231,-0.1684838109341381,3249052.916672042
60,30,-0.3,-0.3,-0.02,0.0,False,1.5,0.1,0.0,2.0,False,0.5,0.4,True,50,False,3,equal,1.0,0.25,2.0,3.0,tp,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.5735299040541735,0.3195428189215135,1.5754960098953912,-0.2430473145959391,9646616.293620164
60,40,-0.2,-0.3,0.0,-0.02,True,1.5,0.2,0.0,2.0,False,0.45,0.45,True,45,False,2,inv_vol,1.0,0.3,2.0,3.0,stop,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.5635587189402271,0.33004317210225,1.5147173718191898,-0.34744312586797343,9344820.816711202
60,40,-0.2,0.0,0.0,0.02,True,1.5,0.1,0.0,2.0,False,0.55,0.4,True,50,False,3,inv_vol,1.0,0.15,2.0,3.5,tp,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.3293582506093595,0.20291056665026336,1.5033775599044918,-0.1869252425018686,4151549.0814281665
65,25,0.0,0.1,0.0,-0.02,False,1.5,0.2,0.0,1.5,False,0.55,0.4,False,45,False,3,inv_vol,1.0,0.2,2.0,3.0,tp,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.3226790782558542,0.2082804863204494,1.4440608342227628,-0.24588164970611937,4048297.4999785274
50,40,-0.3,0.1,-0.02,0.02,False,1.0,0.1,0.0,2.0,False,0.45,0.35,True,45,True,1,inv_vol,1.0,0.3,3.0,3.0,tp,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.4109669770065594,0.262557943165125,1.4384645274374526,-0.2071681577770429,5592219.983718253
60,35,-0.3,0.0,-0.02,0.0,True,1.5,0.0,0.0,2.0,False,0.45,0.4,False,60,True,1,equal,1.0,0.15,2.5,3.5,stop,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.14149281629549493,0.09610656310181864,1.4250726187050242,-0.1004327423050081,1938054.1781244308
60,35,-0.3,0.1,0.02,0.02,True,1.5,0.2,0.0,2.0,False,0.5,0.35,False,55,True,2,equal,1.0,0.15,2.0,3.0,tp,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.23662123532088142,0.15801141157177553,1.4220871316761012,-0.2067368318993258,2891901.521554929
55,25,0.1,0.0,0.0,0.02,True,1.5,0.0,0.0,2.0,False,0.5,0.35,True,50,False,2,inv_vol,1.0,0.2,2.0,3.0,tp,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.3519140393771991,0.23036695946771646,1.4219798788834084,-0.2445986853140304,4515911.171146074
60,25,0.0,-0.2,0.02,0.02,True,1.0,0.0,0.0,2.0,False,0.5,0.4,False,45,True,2,equal,1.0,0.3,3.0,3.5,tp,True,0.0005,0.0005,0.0002,2020-10-18,2025-10-16,,1000000.0,0.6027173701099668,0.3908648568487344,1.3969861546025755,-0.46263115713993086,10575105.75062116
