RSI_MIN_LONG,RSI_MAX_SHORT,MOM20_MIN,MOM60_MIN,MOM20_MAX_SHORT,MOM60_MAX_SHORT,VOLR20_MIN,PVCORR_MIN,RELMOM_MIN,BETA_MAX,REGIME_ON_MIN_BREADTH,REGIME_OFF_MAX_BREADTH,REGIME_BTC_RSI_MIN,SL_ATR_MULT,TP_ATR_MULT,MAX_COINS,FIXED_FRACTION_PER_TRADE,SMA60_FILTER_ON,ALLOW_SHORT,REGIME_BTC_SMA60_ON,CLOSE_ALL_ON_REGIME_OFF,STOP_TP_PRIORITY,WEIGHTING,FEE_IN,FEE_OUT,SLIPPAGE,MAX_GROSS_EXPOSURE,START,END,SYMBOLS,INITIAL_CAPITAL,seed_idx,sharpe,cagr,mdd,vol,final_equity
75,20,-0.1,0.0,0.02,0.0,1.5,0.2,0.0,1.5,0.5,0.45,55,2.0,3.5,3,0.16000000000000003,0,0,0,0,tp,inv_vol,0.0005,0.0005,0.0002,1.0,2020-10-18,2025-10-16,,1000000.0,4,1.7858356061868907,0.2670565341751221,-0.09104603042690085,0.1377514723894745,3265727.6585566835
50,45,-0.19999999999999998,0.2,0.04,0.0,1.5,0.1,0.0,2.0,0.5,0.3,60,2.0,3.5,3,0.18,1,0,0,1,tp,equal,0.0005,0.0005,0.0002,1.0,2020-10-18,2025-10-16,,1000000.0,7,1.726261102253454,0.37975917374119006,-0.169497795954211,0.19766349150113893,5000534.770385749
70,30,-0.3,-0.4,-0.02,0.02,1.5,0.2,0.0,2.0,0.6,0.4,45,2.0,3.5,3,0.2,0,0,1,0,tp,equal,0.0005,0.0005,0.0002,1.0,2020-10-18,2025-10-16,,1000000.0,1,1.6959881537923007,0.42954242010430765,-0.1843325385004403,0.22540332987198558,5970149.89793866
55,25,-0.4,0.1,0.0,0.02,1.5,0.0,0.0,2.0,0.4,0.45,60,2.5,3.5,1,0.15,-2,0,0,1,stop,inv_vol,0.0005,0.0005,0.0002,1.0,2020-10-18,2025-10-16,,1000000.0,6,1.6784576700250784,0.16774023428945561,-0.10043274230500776,0.09508943914214057,2171356.9345997367
60,25,-0.3,-0.19999999999999998,0.0,0.0,1.5,0.2,0.0,2.0,0.45,0.45,45,2.0,3.5,3,0.2,0,0,1,-1,tp,inv_vol,0.0005,0.0005,0.0002,1.0,2020-10-18,2025-10-16,,1000000.0,1,1.6547789363108723,0.47684571441098855,-0.20056360723300315,0.254923623765755,7025474.0731378
65,45,-0.2,-0.4,0.0,0.0,1.5,0.2,0.0,2.0,0.4,0.45,45,2.0,3.5,3,0.35,1,0,1,-1,stop,equal,0.0005,0.0005,0.0002,1.0,2020-10-18,2025-10-16,,1000000.0,2,1.6420535699390353,0.8263333238165564,-0.30712218808050273,0.4183577749568554,20318901.137854274
60,20,0.0,-0.1,0.04,0.04,1.0,0.0,0.0,2.0,0.45,0.35000000000000003,45,3.5,3.0,1,0.3,-2,0,-1,1,tp,inv_vol,0.0005,0.0005,0.0002,1.0,2020-10-18,2025-10-16,,1000000.0,9,1.6242154026253048,0.4633406292580662,-0.24153517500519905,0.25352577858968006,6710071.5972690005
45,30,-0.3,0.1,-0.02,0.0,0.8,0.0,0.0,2.0,0.4,0.3,50,3.5,3.5,1,0.35,0,0,-2,1,tp,inv_vol,0.0005,0.0005,0.0002,1.0,2020-10-18,2025-10-16,,1000000.0,5,1.6173607639208403,0.5132501278715238,-0.28198997095253,0.2802115222576759,7935121.783158027
55,20,-0.1,-0.2,0.0,0.02,0.8,0.0,0.0,2.0,0.5,0.4,50,3.0,3.5,1,0.3,1,0,-1,1,tp,equal,0.0005,0.0005,0.0002,1.0,2020-10-18,2025-10-16,,1000000.0,9,1.6064306200342808,0.442176682985717,-0.248913138007408,0.24691087585758714,6238674.802898652
75,25,-0.1,0.0,-0.02,0.0,1.2,0.1,0.0,1.5,0.65,0.4,40,1.5,3.5,2,0.2,0,0,0,-1,tp,inv_vol,0.0005,0.0005,0.0002,1.0,2020-10-18,2025-10-16,,1000000.0,4,1.5878542774096096,0.3096977776961827,-0.13479576045320807,0.1798202029061887,3853500.795764974
60,35,-0.19999999999999998,0.0,-0.02,0.0,0.8,0.0,0.0,2.0,0.45,0.39999999999999997,40,3.0,3.5,1,0.3,0,0,-2,1,tp,equal,0.0005,0.0005,0.0002,1.0,2020-10-18,2025-10-16,,1000000.0,5,1.5820185978547594,0.42825435960508473,-0.2408184910575284,0.24414475141430053,5943301.904675722
75,20,-0.1,0.2,-0.02,0.0,1.5,0.2,0.02,1.5,0.55,0.45,55,1.5,3.5,3,0.16000000000000003,0,0,0,-1,tp,equal,0.0005,0.0005,0.0002,1.0,2020-10-18,2025-10-16,,1000000.0,4,1.5805123126606675,0.21693553835178658,-0.09542492140024794,0.1293625712110106,2668934.221345893
65,25,-0.19999999999999998,-0.4,0.0,0.0,1.5,0.1,0.0,2.0,0.45,0.4,50,2.0,3.0,3,0.3,-1,0,1,0,tp,equal,0.0005,0.0005,0.0002,1.0,2020-10-18,2025-10-16,,1000000.0,1,1.580484851070278,0.6354403911978086,-0.29207499678560744,0.3486862716146115,11699669.604515057
45,45,-0.19999999999999998,0.0,-0.04,0.0,0.8,0.2,0.0,2.0,0.4,0.39999999999999997,50,3.5,3.5,1,0.35,0,0,1,-2,tp,inv_vol,0.0005,0.0005,0.0002,1.0,2020-10-18,2025-10-16,,1000000.0,5,1.5751774585445095,0.5183226439086834,-0.2668832034658184,0.2918768886138441,8069011.700461195
45,30,-0.19999999999999998,0.1,0.0,0.0,0.8,0.1,0.0,2.0,0.4,0.3,40,3.5,3.5,1,0.24,-1,0,1,1,tp,inv_vol,0.0005,0.0005,0.0002,1.0,2020-10-18,2025-10-16,,1000000.0,5,1.5724469300855952,0.3423804700371431,-0.19329692396422893,0.1998984844193038,4358912.241826569
50,35,-0.3,0.0,-0.02,0.0,0.8,0.1,0.02,2.0,0.5,0.35,50,3.5,3.5,1,0.3,-1,0,1,1,tp,inv_vol,0.0005,0.0005,0.0002,1.0,2020-10-18,2025-10-16,,1000000.0,5,1.5614246360643949,0.45026073790251986,-0.25247610598150905,0.2594394621991786,6415499.103096184
65,35,-0.19999999999999998,-0.19999999999999998,-0.02,0.02,1.5,0.0,0.0,2.0,0.5,0.4,40,2.0,3.5,3,0.2,-1,0,1,0,tp,equal,0.0005,0.0005,0.0002,1.0,2020-10-18,2025-10-16,,1000000.0,1,1.5561758454073495,0.42704507094452726,-0.23712203703919932,0.24793725180682902,5918183.804226482
65,30,-0.30000000000000004,0.0,-0.02,0.04,1.5,0.0,0.0,2.0,0.6000000000000001,0.45,55,2.0,3.0,3,0.18,1,0,-2,0,tp,equal,0.0005,0.0005,0.0002,1.0,2020-10-18,2025-10-16,,1000000.0,3,1.554655647428151,0.33878030645836277,-0.16931081142025173,0.20037562037090384,4300773.550584013
65,35,0.1,-0.3,0.0,0.02,0.8,0.1,0.04,2.0,0.45,0.39999999999999997,40,2.5,3.0,1,0.2,0,0,1,1,tp,equal,0.0005,0.0005,0.0002,1.0,2020-10-18,2025-10-16,,1000000.0,0,1.548749832058215,0.34363178460175603,-0.1694649375145416,0.20352891105522225,4379266.190206835
70,25,0.0,0.2,0.02,0.0,1.5,0.1,0.0,2.0,0.6000000000000001,0.4,40,2.0,3.5,3,0.2,0,0,0,0,tp,equal,0.0005,0.0005,0.0002,1.0,2020-10-18,2025-10-16,,1000000.0,4,1.5426463309891476,0.36318349090307844,-0.2079567951898924,0.21561151962033245,4707296.879600856
60,20,0.0,0.1,0.0,-0.04,1.5,0.2,0.0,2.0,0.55,0.35000000000000003,50,2.5,3.5,3,0.16000000000000003,0,0,0,0,tp,inv_vol,0.0005,0.0005,0.0002,1.0,2020-10-18,2025-10-16,,1000000.0,4,1.5382822481683958,0.3443898381698982,-0.1824080642337058,0.20599287230627567,4391633.664568155
50,35,-0.3,-0.3,-0.04,-0.02,1.5,0.1,0.0,2.0,0.45,0.4,50,2.0,3.5,3,0.2,-1,0,1,-1,tp,equal,0.0005,0.0005,0.0002,1.0,2020-10-18,2025-10-16,,1000000.0,1,1.5285499570268781,0.46295858675573287,-0.21570521838295376,0.27289267213302737,6701316.990547375
60,40,-0.3,-0.19999999999999998,0.0,-0.02,1.5,0.2,0.0,2.0,0.55,0.35000000000000003,60,2.0,3.0,3,0.25,0,0,1,0,tp,equal,0.0005,0.0005,0.0002,1.0,2020-10-18,2025-10-16,,1000000.0,1,1.527640811114889,0.4400682732619645,-0.20371656801506943,0.26057715348346283,6193204.374238975
45,35,-0.19999999999999998,0.2,0.0,0.0,0.8,0.2,0.02,1.5,0.4,0.3,45,3.0,3.0,2,0.3,0,0,-2,-2,tp,inv_vol,0.0005,0.0005,0.0002,1.0,2020-10-18,2025-10-16,,1000000.0,5,1.523865030299607,0.5864717339024812,-0.2859721192936888,0.33943042053197203,10049898.914720938
75,30,0.1,0.1,-0.02,-0.02,1.2,0.3,0.0,2.0,0.55,0.45,55,1.5,3.5,3,0.2,0,0,0,0,tp,inv_vol,0.0005,0.0005,0.0002,1.0,2020-10-18,2025-10-16,,1000000.0,4,1.5237138635317873,0.27110722432337075,-0.10966380817129073,0.16625473387740847,3318263.9983718414
50,20,0.1,-0.1,0.02,0.0,0.8,0.1,0.02,2.0,0.55,0.4,55,3.5,3.5,1,0.3,-2,0,0,1,tp,equal,0.0005,0.0005,0.0002,1.0,2020-10-18,2025-10-16,,1000000.0,9,1.5236243999944725,0.4423398460509076,-0.1859315337610381,0.26283837262401544,6242204.715946374
55,25,-0.19999999999999998,-0.3,0.0,0.0,1.5,0.2,0.0,2.5,0.6,0.4,50,2.0,3.0,2,0.25,-1,0,1,-1,tp,inv_vol,0.0005,0.0005,0.0002,1.0,2020-10-18,2025-10-16,,1000000.0,1,1.5169374337946606,0.41765393783506166,-0.21322129839912551,0.2503908372437105,5725997.351960647
